Arthropoda Arachnida Opilionida Phalangodidae Chinquipellobunus reddelli
Arthropoda Arachnida Trombidiformes Aturidae Axonopsella bakeri
Arthropoda Arachnida Trombidiformes Limnesiidae Protolimnesia ventriplacophora
Arthropoda Arachnida Trombidiformes Mideopsidae Allomideopsis wichitaensis
Arthropoda Diplopoda Polydesmida Macrosternodesmidae Speodesmus ehinourus
Arthropoda Diplopoda Polydesmida Macrosternodesmidae Speorthus reyesi
Arthropoda Diplopoda Polydesmida Macrosternodesmidae Speorthus tuganbius
Arthropoda Insecta Coleoptera Curculionidae Lymantes reddelli
Arthropoda Insecta Zygentoma Nicoletiidae Texoreddellia aquilonalis
Arthropoda Insecta Zygentoma Nicoletiidae Texoreddellia capitesquameo
Arthropoda Insecta Zygentoma Nicoletiidae Texoreddellia coahuilensis
Arthropoda Insecta Zygentoma Nicoletiidae Texoreddellia media
Arthropoda Insecta Zygentoma Nicoletiidae Texoreddellia occasus
Arthropoda Malacostraca Bathynellacea Parabathynellidae Montanabathynella pecosensis
Arthropoda Malacostraca Bathynellacea Parabathynellidae Texanobathynella aaronswinki
Arthropoda Malacostraca Bathynellacea Parabathynellidae Texanobathynella coloradoensis
Arthropoda Malacostraca Isopoda Microcerberidae Texicerberus amistad
Arthropoda Malacostraca Isopoda Microcerberidae Texicerberus castilloi
Arthropoda Malacostraca Isopoda Microcerberidae Texicerberus schoetteae
Arthropoda Ostracoda Podocopida Candonidae Bicornucandona fineganensis
Arthropoda Ostracoda Podocopida Candonidae Comalcandona gibsoni
Arthropoda Ostracoda Podocopida Candonidae Comalcandona mixoni
Arthropoda Ostracoda Podocopida Candonidae Indocandona rusti
Arthropoda Ostracoda Podocopida Candonidae Namiotkocypria haysensis
Arthropoda Ostracoda Podocopida Candonidae Schornikovdona bellensis
Arthropoda Ostracoda Podocopida Cyprididae Cavernocypris reddelli
Arthropoda Ostracoda Podocopida Cyprididae Lacrimacandona wisei
Arthropoda Ostracoda Podocopida Cyprididae Pseudocandona lordi
Nematoda Chromadorea Rhabditida Rhabdochonidae Rhabdochona longleyi
Nematoda Enoplea Trichocephalida Capillariidae Amphibiocapillaria texensis 
Platyhelminthes Trematoda Plagiorchiida Brachycoeliidae Brachycoelium longleyi
