Cicurina bandera,S2,SGCN
Cicurina bandida,S1,SGCN
Cicurina baronia,S1,SGCN
Cicurina barri,S1,SGCN
Cicurina browni,S1,SGCN
Cicurina buwata,S2,SGCN
Cicurina caliga,SNR,SGCN
Cicurina caverna,S1,SGCN
Cicurina coryelli,S1,SGCN
Cicurina ezelli,S1,SGCN
Cicurina gruta,S1,SGCN
Cicurina holsingeri,S1,SGCN
Cicurina hoodensis,SNR,SGCN
Cicurina machete,S1,SGCN
Cicurina madla,S1,SGCN
Cicurina mckenziei,S1,SGCN
Cicurina medina,S1,SGCN
Cicurina menardia,S1,SGCN
Cicurina mixmaster,SNR,SGCN
Cicurina obscura,S1,SGCN
Cicurina orellia,S1,SGCN
Cicurina pablo,S1,SGCN
Cicurina pastura,S1,SGCN
Cicurina patei,S1,SGCN
Cicurina porteri,S1,SGCN
Cicurina puentecilla,S1,SGCN
Cicurina rainesi,S1,SGCN
Cicurina reclusa,S1,SGCN
Cicurina russelli,S1,SGCN
Cicurina sansaba,S1,SGCN
Cicurina selecta,S1,SGCN
Cicurina serena,S1,SGCN
Cicurina sheari,S1,SGCN
Cicurina sprousei,S1,SGCN
Cicurina stowersi,S1,SGCN
Cicurina suttoni,S1,SGCN
Cicurina travisae,S1,SGCN
Cicurina troglobia,SNR,SGCN
Cicurina ubicki,S1,SGCN
Cicurina uvalde,S1,SGCN
Cicurina venefica,S1,SGCN
Cicurina venii,S1,SGCN
Cicurina vespera,S1,SGCN
Cicurina vibora,S1,SGCN
Cicurina watersi,S1,SGCN
Tayshaneta anopica,S1,SGCN
Tayshaneta bullis,SNR,SGCN
Tayshaneta concinna,S1,SGCN
Tayshaneta devia,S1,SGCN
Tayshaneta microps,S1,SGCN
Tayshaneta myopica,S1,SGCN
Tayshaneta valverdae,S1,SGCN
Islandiana unicornis,S2,SGCN
Eidmannella bullata,S1,SGCN
Eidmannella delicata,S1,SGCN
Eidmannella nasuta,S1,SGCN
Eidmannella reclusa,S1,SGCN
Eidmannella tuckeri,SNR,SGCN
Texella brevidenta,S1,SGCN
Texella brevistyla,S1,SGCN
Texella cokendolpheri,S1,SGCN
Texella diplospina,S1,SGCN
Texella grubbsi,S1,SGCN
Texella hardeni,S1,SGCN
Texella mulaiki,S2,SGCN
Texella reddelli,S2,SGCN
Texella renkesae,S1,SGCN
Texella reyesi,S2,SGCN
Texella spinoperca,SNR,SGCN
Leucohya texana,S1,SGCN
Apocheiridium reddelli,S1,SGCN
Dinocheirus cavicola,S2,SGCN
Tyrannochthonius muchmoreorum,SNR,SGCN
Tyrannochthonius troglodytes,S1,SGCN
Larca guadalupensis,S1,SGCN
Tartarocreagris altimana,S1,SGCN
Tartarocreagris amblyopa,S1,SGCN
Tartarocreagris attenuata,S1,SGCN
Tartarocreagris domina,S1,SGCN
Tartarocreagris grubbsi,S1,SGCN
Tartarocreagris hoodensis,S1,SGCN
Tartarocreagris infernalis,S2?,SGCN
Tartarocreagris intermedia,S1,SGCN
Tartarocreagris proserpina,S1,SGCN
Tartarocreagris reyesi,S1,SGCN
Tartarocreagris texana,S1,SGCN
Chitrella elliotti,S1,SGCN
Chitrella major,S1,SGCN
Nitocrellopsis texana,SU,SGCN
Speodesmus falcatus,S2,SGCN
Speodesmus ivyi,S2,SGCN
Speodesmus reddelli,S3,SGCN
Oncopodura fenestra,S2?,SGCN
Rhadine austinica,S1S2,SGCN
Rhadine bullis,SNR,SGCN
Rhadine exilis,S1,SGCN
Rhadine infernalis,S1,SGCN
Rhadine insolita,S1,SGCN
Rhadine noctivaga,S1,SGCN
Rhadine persephone,S1,SGCN
Rhadine reyesi,SNR,SGCN
Rhadine russelli,S1,SGCN
Rhadine specum,S2,SGCN
Rhadine subterranea,S2,SGCN
Batrisodes cryptotexanus,SNR,SGCN
Batrisodes dentifrons,SNR,SGCN
Batrisodes fanti,SNR,SGCN
Batrisodes feminiclypeus,SNR,SGCN
Batrisodes gravesi,SNR,SGCN
Batrisodes grubbsi,S1,SGCN
Batrisodes incisipes,SNR,SGCN
Batrisodes pekinsi,SNR,SGCN
Batrisodes shadeae,SNR,SGCN
Batrisodes texanus,S1,SGCN
Batrisodes venyivi,S1,SGCN
Batrisodes wartoni,SNR,SGCN
Texamaurops reddelli,S1,SGCN
Epitragosoma arenarium,SNR,SGCN
Talanus mecoscelis,SNR,SGCN
Texaponium triplehorni,SNR,SGCN
Brackenridgia reddelli,S2?,SGCN
Artesia subterranea,S2,SGCN
Artesia welbourni,S2S4,SGCN
Stygobromus balconis,S2,SGCN
Stygobromus dejectus,S1,SGCN
Stygobromus flagellatus,S3,SGCN
Stygobromus hadenoecus,S2,SGCN
Stygobromus limbus,S2S4,SGCN
Stygobromus pecki,S1,SGCN
Stygobromus reddelli,S1,SGCN
Mexiweckelia hardeni,S2,SGCN
Paraholsingerius smaragdinus,S2,SGCN
Paramexiweckelia ruffoi,S2,SGCN
Texiweckelia texensis,S2,SGCN
Seborgia hershleri,S2,SGCN
Texanobathynella bowmani,S2S4,SGCN
Lirceolus bisetus,S1,SGCN
Lirceolus cocytus,S1,SGCN
Lirceolus nidulus,S2S4,SGCN
Lirceolus smithii,S1,SGCN
Speocirolana hardeni,S2,SGCN
