# Genera that are entirely trogolobitic.

Brackenridgia
Speodesmus
Speorthus
Texamaurops
Texoreddellia

# Species that are trogolobitic not necessarily in trogolobitic genera.

Amerigoniscus gipsocolus
Brackenridgia cavernarum
Brackenridgia reddelli
Agastoschizomus texanus
Cicurina bandera
Cicurina bandida
Cicurina baronia
Cicurina barri
Cicurina browni
Cicurina brunsi
Cicurina bullis
Cicurina buwata
Cicurina caliga
Cicurina caverna
Cicurina coryelli
Cicurina delrio
Cicurina ezelli
Cicurina gruta
Cicurina holsingeri
Cicurina hoodensis
Cicurina joya
Cicurina machete
Cicurina mckenziei
Cicurina madla
Cicurina medina
Cicurina menardia
Cicurina mirifica
Cicurina mixmaster
Cicurina neovespera
Cicurina obscura
Cicurina orellia
Cicurina pablo
Cicurina pastura
Cicurina patei
Cicurina platypus
Cicurina porteri
Cicurina puentecilla
Cicurina rainesi
Cicurina reclusa
Cicurina russelli
Cicurina sansaba
Cicurina selecta
Cicurina serena
Cicurina sheari
Cicurina sprousei
Cicurina stowersi
Cicurina suttoni
Cicurina travisae
Cicurina troglobia
Cicurina ubicki
Cicurina uvalde
Cicurina venefica
Cicurina vespera
Cicurina vibora
Cicurina watersi
Tayshaneta anopica
Tayshaneta archambaulti
Tayshaneta bullis
Tayshaneta coeca
Tayshaneta fawcetti
Tayshaneta microps
Tayshaneta myopica
Tayshaneta oconnorae
Tayshaneta sandersi
Tayshaneta sprousei
Tayshaneta vidrio
Tayshaneta whitei
Islandiana unicornis
Eidmannella bullata
Eidmannella delicata
Eidmannella nasuta
Eidmannella reclusa
Eidmannella rostrata
Eidmannella tuckeri
Leucohya texana
Dinocheirus cavicola
Mexichthonius exoticus
Tyrannochthonius muchmoreorum
Tyrannochthonius troglodytes
Larca guadalupensis
Tartarocreagris altimana
Tartarocreagris amblyopa
Tartarocreagris attenuata
Tartarocreagris domina
Tartarocreagris grubbsi
Tartarocreagris hoodensis
Tartarocreagris infernalis
Tartarocreagris intermedia
Tartarocreagris proserpina
Tartarocreagris reyesi
Tartarocreagris texana
Texella cokendolpheri
Texella hardeni
Texella hilgerensis
Texella mulaiki
Texella reyesi
Texella tuberculata
Texella whitei
Chinquipellobunus madlae
Chinquipellobunus russelli
Theatops phanus
Cambala speobia
Speodesmus bicornourus
Speodesmus castellanus
Speodesmus ehinourus
Speodesmus falcatus
Speodesmus ivyi
Speodesmus reddelli
Speorthus reyesi
Speorthus tuganbius
Oncopodura fenestra
Pygmarrhopalites texensis
Mixojapyx reddelli
Texoreddellia aquilonalis
Texoreddellia capitesquameo
Texoreddellia coahuilensis
Texoreddellia media
Texoreddellia occasus
Texoreddellia texensis
Rhadine austinica
Rhadine bullis
Rhadine exilis
Rhadine grubbsi
Rhadine infernalis
Rhadine insolita
Rhadine ivyi
Rhadine koepkei
Rhadine noctivaga
Rhadine persephone
Rhadine reyesi
Rhadine russelli
Rhadine specum
Rhadine sprousei
Rhadine subterranea
Rhadine tenebrosa
Lymantes nadineae
Lymantes reddelli
Batrisodes dentifrons
Batrisodes fanti
Batrisodes feminiclypeus
Batrisodes gravesi
Batrisodes incisipes
Batrisodes pekinsi
Batrisodes wartoni
Batrisodes cryptotexanus
Batrisodes grubbsi
Batrisodes reyesi
Batrisodes shadeae
Batrisodes texanus
Batrisodes venyivi
Texamaurops reddelli
